video_id,url,video_title,channel_id,channel_title,publish_date,description
eE61i2y1mJ0,https://www.youtube.com/watch?v=eE61i2y1mJ0,SHUT IT DOWN.,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,2025-11-17T04:40:38Z,Asmongold's Twitch: https://www.twitch.tv/zackrawrr ▻ Asmongold's X: https://x.com/asmongold ▻ Asmongold's Kick: ...
zfQxhG5oWdU,https://www.youtube.com/watch?v=zfQxhG5oWdU,She&#39;s 100% f*cked now..,UCMwJJL5FJFuTRT55ksbQ4GQ,Asmongold Clips,2025-12-10T23:07:49Z,Asmongold Clips / Asmongold Reacts To: DoorDash Girl updates as the court case will be recorded.. On this Asmongold Clips ...
6GfCWFftDSA,https://www.youtube.com/watch?v=6GfCWFftDSA,Why DoorDash Girl’s Legal Problems Are Even Worse | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,2025-11-30T19:00:07Z,"MasterClass has great offers this holiday season. If you use my link, you'll get up to 50% off an annual subscription. Head over to ..."
UvFii2zv3SU,https://www.youtube.com/watch?v=UvFii2zv3SU,DoorDash driver caught PEPPER-SPRAYING family’s order #morbidfacts,UCQ-L6OuPbuAPNXzE3cF6XXg,Morbid Facts,2025-12-10T17:51:41Z,
p8UbRG5hbiM,https://www.youtube.com/watch?v=p8UbRG5hbiM,Victim Goes TOO FAR &amp; is Arrested,UCN3rhkHmloHwqgat8LHk2yg,Angry Cops,2025-11-22T14:54:43Z,Stop leaving yourself vulnerable to data breaches. Go to my sponsor https://aura.com/angrycops to get a 14-day free trial and see ...
IJAwKvrhY58,https://www.youtube.com/watch?v=IJAwKvrhY58,TikToker Facing 8 Years Prison After Caught Lying..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,2025-11-23T00:59:56Z,TikToker Facing 8 Years Prison After Caught Lying.. TikTok Doordash girl / driver has been a big topic on tiktok over the last ...
tKdJkhBFqtI,https://www.youtube.com/watch?v=tKdJkhBFqtI,This woman CAN&#39;T HANDLE being held accountable: COURT update in the viral doordash girl story,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,2025-12-12T21:01:10Z,Hey guys! UPDATE; She appeared in court today after being charged with 2 felonies. Let's talk about the publics response to the ...
N7sbCbrli-s,https://www.youtube.com/watch?v=N7sbCbrli-s,DoorDash Driver Saves Daughter...😱,UC35M5svZ9d1r7D86PUUVl0g,Spiritalk,2026-01-07T02:30:33Z,
6Krjoo3fHtY,https://www.youtube.com/watch?v=6Krjoo3fHtY,There&#39;s no f**king way..,UCMwJJL5FJFuTRT55ksbQ4GQ,Asmongold Clips,2025-12-19T10:38:21Z,Asmongold Clips / Asmongold Reacts To: Another DoorDash girl bandit.. Video breakdown by The Dadvocate: ...
0L2x9_SRpMM,https://www.youtube.com/watch?v=0L2x9_SRpMM,Bodycam: DoorDasher Caught Pepper Spraying Food Delivery,UCz8K1occVvDTYDfFo7N5EZw,Law&Crime Network,2025-12-17T00:45:01Z,A late-night DoorDash order in Indiana turned dangerous when a couple fell violently ill and discovered doorbell video showing ...
xOfSTOLeijk,https://www.youtube.com/watch?v=xOfSTOLeijk,"Woman Orders Food but Notices Something Unusual About Delivery Man, Immediately Jumps Into Action",UCO_O_nz8LBblf9Wr7Xk5UpQ,Unseen Story,2025-12-17T15:07:51Z,"So this woman ordered DoorDash one afternoon, but when the delivery arrived, something felt off."
OqB0y-8Ej0c,https://www.youtube.com/watch?v=OqB0y-8Ej0c,TikToker Humiliated in Court After Caught Lying..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,2025-12-18T03:02:46Z,Get a free sample pack of Gamer Supps here! http://gamersupps.gg/atozy (DONT FORGET TO USE CODE: ATOZY) TikToker ...
JeorPuxvEOU,https://www.youtube.com/watch?v=JeorPuxvEOU,A THIRD DoorDash Girl (The Seafood Boil Bandit),UCfpjbrgYtnVTkN_c24nURng,The Dadvocate,2025-12-17T20:24:45Z,
dMXPFQpqKPQ,https://www.youtube.com/watch?v=dMXPFQpqKPQ,ICE Finally Meets Their Match,UCpJ7ZS8hK-IOeciv952Xhug,Really American,2026-01-10T01:00:54Z,Really American host Steve Harness breaks down a door dash order goes off the rails after ICE shows up and a brave citizen ...
qYbQZNOX9zc,https://www.youtube.com/watch?v=qYbQZNOX9zc,Why DoorDash Girl (Hilariously) Pled Not Guilty | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,2025-12-15T15:30:41Z,Get the Exclusive Tinggly Deal: Use code LEGAL for 20% off all experience and hotel gift boxes at https://tinggly.com/legalbytes.
zrnQVP7pMds,https://www.youtube.com/watch?v=zrnQVP7pMds,HOW MUCH GAS DO I WASTE DOORDASHING?!?!🤔💸⛽️DAY 1,UCkR-7ET6VY9_2vXcAie911w,Amanda + Isaiah,2026-01-07T17:17:39Z,Day 1 of seeing how much money I can make DoorDashing on a full tank of gas    ‍♀️🛍️⛽️ Is it worth it?? #gigworker ...
lP_9nYehuss,https://www.youtube.com/watch?v=lP_9nYehuss,It’s Getting MUCH Worse for the DoorDash Girl… ,UCMhMHJ4XMIgrq0Bp8Xn06Dw,The Poor Mans Podcast Reacts,2025-12-13T01:32:44Z,Original Video: https://youtu.be/Djzvi2sVsdY?si=nMj0ri_TymRV8hdm.
MJmjh_Mgp10,https://www.youtube.com/watch?v=MJmjh_Mgp10,DoorDash Driver Hides From ICE in Someone’s Home! Can Homeowner Be Charged? Attorney Ugo Lord Reacts,UCKwsC0eqm1rXRxuudFhYDcg,Ugo Lord: The Modern Attorney,2026-01-14T21:00:33Z,
46xekr1CEUU,https://www.youtube.com/watch?v=46xekr1CEUU,This is a Nightmare For The TikTok DoorDash Girl…,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,2026-01-22T00:43:47Z,This is a Nightmare For The TikTok DoorDash Girl… CHECK OUT OUR MATS HERE: https://mat.city/ After the tiktok doordash girl ...
ZSDPc8de7cw,https://www.youtube.com/watch?v=ZSDPc8de7cw,Things Got Worse For The TikTok DoorDash Girl.. LIVE AFTER TRIAL,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,2026-01-20T17:19:03Z,CHECK OUT OUR MATS HERE: https://mat.city/ My other Socials: Twitter: @atozy Instagram: @atozy atozy is a budget talk show ...
_0lUbqA1d24,https://www.youtube.com/watch?v=_0lUbqA1d24,She Has a LEGIT Reason to NEVER Use DoorDash Again,UCkU_KcVKHrxgE4uhbIWaQtg,Lindey Glenn,2026-01-19T03:00:42Z,Some experiences stick with you This clip shows why she's done with DoorDash for good—from messed up orders to shady ...
RuHOwKXtDek,https://www.youtube.com/watch?v=RuHOwKXtDek,Why DoorDash Girl’s Case Isn’t Getting Any Better for Her | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,2026-01-25T16:00:38Z,"Playlist: https://www.youtube.com/playlist?list=PLbQVtXJ42xmgetTLldxnG0BMyZB-XJ85V CONTEXT: Olivia Henderson, aka ..."
xqjKErnpycA,https://www.youtube.com/watch?v=xqjKErnpycA,ICE Persigue a Repartidora en Minnesota,UC32TdiIsh_5X8tKr_9rKQyA,N+ UNIVISION,2026-01-13T03:58:17Z,Una residente del estado de Minnnesota público el momento en el que una repartidora de la aplicación DoorDash se refugió en ...
5bjJBcpy9sU,https://www.youtube.com/watch?v=5bjJBcpy9sU,TikTok DoorDash Girl Trial Update: It Got Worse For Her..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,2026-01-20T18:04:13Z,
uPAwqaiNekA,https://www.youtube.com/watch?v=uPAwqaiNekA,CAN I PAY MY BILLS BY DOORDASHING?!😤🥹,UCkR-7ET6VY9_2vXcAie911w,Amanda + Isaiah,2026-01-19T23:13:38Z,Can I make $218 in 2 days DoorDashing?!? ‍♀️  🛍️   @bloomsupps #Giftedbybloom #bloomenergy #gigworker ...
xmJ-USPfau8,https://www.youtube.com/watch?v=xmJ-USPfau8,"ICE Chased DoorDash Driver Into Home — Homeowner Says “No Warrant, No Entry”",UCRvsrJB_GhMhdLSA4ae5MqQ,Tom Powell Jr,2026-01-13T14:59:43Z,"A viral clip from St. Paul, Minnesota shows a DoorDash driver fleeing ICE agents and running into a woman's home for safety ..."
BMteNzu1jIA,https://www.youtube.com/watch?v=BMteNzu1jIA,TikTok Doordash Girl’s NEW CHARGES Show She’s Facing 8 YEARS In Prison.. (Court Update),UCAamiLxEcpjVPO-xEr40v3w,WADE'S WORLD,2026-01-22T22:39:42Z,"The Doordash girl incident has gotten EVEN WORSE for her. After exposing a man inside his own house, she is now facing up to ..."
